"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-02","3.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-03","3.33"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-04","5.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-05","13.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-06","2.79"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-07","2.50"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-08","5.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-09","8.31"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-10","3.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-11","5.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1954-12","5.40"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-01","0.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-02","4.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-03","5.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-04","4.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-05","1.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-06","3.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-07","4.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-08","17.09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-09","2.41"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1955-10","6.94"
